,documento,ruta,categoria
3,ENL_Azcapotzalco_Mexico_1738_texto_ilust,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto_ilustracion/ENL_Azcapotzalco_Mexico_1738_texto_ilust,texto_ilustracion,test
42,AGN_Civil_vol1104_exp7,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_Civil_vol1104_exp7,texto_con_traspaso,
8,AGN_Tierras_vol48_exp4_ilust,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/ilustracion/AGN_Tierras_vol48_exp4_ilust,ilustracion,
15,AGN_Hospital_de_Jesús_Caja373_leg210_exp35,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/sin_traspaso/AGN_Hospital_de_Jesús_Caja373_leg210_exp35,texto_sin_traspaso,
9,AGN_Tierras_vol39_2ap_exp1_ilust,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/ilustracion/AGN_Tierras_vol39_2ap_exp1_ilust,ilustracion,
52,AGN_Tierras_vol104_exp8,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_Tierras_vol104_exp8,texto_con_traspaso,
33,AGN_Tierras_vol17_2dap_exp4,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_Tierras_vol17_2dap_exp4,texto_con_traspaso,
48,ENL_Azcapotzalco_Mexico_1738,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/ENL_Azcapotzalco_Mexico_1738,texto_con_traspaso,
41,ENL_Cuernavaca_1607,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/ENL_Cuernavaca_1607,texto_con_traspaso,
24,AGN_Tierras_vol39_1ap_exp2,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_Tierras_vol39_1ap_exp2,texto_con_traspaso,
49,Hospital_de_Jesus_c540,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/Hospital_de_Jesus_c540,texto_con_traspaso,
17,ENL_Azcapotzalco_Mexico_1703,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/sin_traspaso/ENL_Azcapotzalco_Mexico_1703,texto_sin_traspaso,
34,ENL_Tlatelolco_1823,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/ENL_Tlatelolco_1823,texto_con_traspaso,
30,AGN_HJ_C737_leg210_exp31,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_HJ_C737_leg210_exp31,texto_con_traspaso,
29,AGN_Hospital_de_Jesús_Caja373_leg210_exp25,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_Hospital_de_Jesús_Caja373_leg210_exp25,texto_con_traspaso,
10,AGN_Tierras_vol38_exp2_ilust,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/ilustracion/AGN_Tierras_vol38_exp2_ilust,ilustracion,
53,AGN_Civil_vol1237_exp5,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_Civil_vol1237_exp5,texto_con_traspaso,
2,AGN_Tierras_vol2860_exp1_cuad2_texto_iliust,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto_ilustracion/AGN_Tierras_vol2860_exp1_cuad2_texto_iliust,texto_ilustracion,
38,AGN_Tierras_vol223_exp5,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_Tierras_vol223_exp5,texto_con_traspaso,
25,ENL_Xalostotzitlan_1611,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/ENL_Xalostotzitlan_1611,texto_con_traspaso,
26,ENL_Guadalajara_1653,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/ENL_Guadalajara_1653,texto_con_traspaso,
22,AGN_Tierras_vol2860_exp1_cuad2,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/sin_traspaso/AGN_Tierras_vol2860_exp1_cuad2,texto_sin_traspaso,
1,Hospital_de_Jesus_c540_l298_texto_ilust,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto_ilustracion/Hospital_de_Jesus_c540_l298_texto_ilust,texto_ilustracion,
21,ENL_Coyoacan_Region_1621,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/sin_traspaso/ENL_Coyoacan_Region_1621,texto_sin_traspaso,
23,AGN_HJ_C737_leg210_exp21,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/sin_traspaso/AGN_HJ_C737_leg210_exp21,texto_sin_traspaso,
50,ENL_Coyoacan_Region_1617,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/ENL_Coyoacan_Region_1617,texto_con_traspaso,
44,AGN_Tierras_vol55_exp2,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_Tierras_vol55_exp2,texto_con_traspaso,
27,AGN_Tierras_ vol9_1ap_exp1,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_Tierras_ vol9_1ap_exp1,texto_con_traspaso,
18,ENL_Metepec_1795,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/sin_traspaso/ENL_Metepec_1795,texto_sin_traspaso,
13,AGN_HJ_C737_leg210_exp27,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/sin_traspaso/AGN_HJ_C737_leg210_exp27,texto_sin_traspaso,
28,AGN_HJ_C737_leg210_exp20,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_HJ_C737_leg210_exp20,texto_con_traspaso,
46,AGN_HJ_C737_leg210_exp19,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_HJ_C737_leg210_exp19,texto_con_traspaso,
40,AGN_Hospital_de_Jesús_Caja373_leg210_exp43,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_Hospital_de_Jesús_Caja373_leg210_exp43,texto_con_traspaso,
6,AGN_Tierras_vol29_exp5_ilust,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/ilustracion/AGN_Tierras_vol29_exp5_ilust,ilustracion,
7,AGN_Tierras_vol45_exp3_ilust,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/ilustracion/AGN_Tierras_vol45_exp3_ilust,ilustracion,
14,AGN_HJ_C737_leg210_exp24,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/sin_traspaso/AGN_HJ_C737_leg210_exp24,texto_sin_traspaso,
31,AGN_HJ_C737_leg210_exp18,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_HJ_C737_leg210_exp18,texto_con_traspaso,
35,AGN_HJ_C737_leg210_exp22,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/con_traspaso/AGN_HJ_C737_leg210_exp22,texto_con_traspaso,
19,ENL_Yancuitlalpan_1718,/home/cesarcabrera/HTRNahuatl/dataset_depurado/cursiva/texto/sin_traspaso/ENL_Yancuitlalpan_1718,texto_sin_traspaso
